length_url,length_hostname,ip,https_token,nb_subdomains,prefix_suffix,shortening_service,ratio_digits_url,phish_hints,nb_hyperlinks,domain_age,web_traffic,google_index,nb_specialchars,brand_flags,tld_subdomain_abnormal,nb_redirection_total,suspicious_html_score,status
37,19,0,1,3,0,0,0.0,0,17,-1,0,1,7,0,0,0,1,0
77,23,1,1,1,0,0,0.220779221,0,30,5767,0,1,7,0,0,1,1,1
126,50,1,0,3,1,0,0.150793651,0,4,4004,5828815,1,19,0,1,1,1,1
18,11,0,1,2,0,0,0.0,0,149,-1,107721,0,5,0,0,1,1,0
55,15,0,1,2,0,0,0.0,0,102,8175,8725,0,10,0,0,1,1,0
32,24,0,1,3,1,0,0.0,0,10,-1,0,1,8,0,0,1,2,1
19,12,0,1,2,0,0,0.0,0,98,7529,0,0,5,0,0,1,1,0
81,27,1,1,2,0,0,0.259259259,0,30,5767,0,1,8,0,0,1,1,1
42,34,0,1,2,0,1,0.0,0,63,7298,0,0,6,1,0,0,2,0
104,10,0,0,1,0,0,0.076923077,1,140,9368,6774,0,18,0,0,0,1,0
56,22,0,0,3,0,0,0.0,0,15,-1,1627089,0,9,0,0,0,2,0
43,16,0,0,2,0,0,0.186046512,0,88,7911,944,0,9,0,0,0,1,0
83,14,0,0,1,0,0,0.012048193,0,325,1505,158942,0,15,0,0,0,2,0
31,10,0,1,2,0,0,0.064516129,0,3,1761,1173197,1,6,0,0,1,2,1
25,16,0,0,2,0,0,0.0,0,211,2041,4297684,0,6,0,0,0,0,0
51,23,0,1,3,0,0,0.019607843,0,50,3892,0,0,10,0,0,1,1,1
31,22,0,0,2,0,1,0.0,0,125,8301,99386,0,6,0,0,0,2,0
50,21,0,1,2,0,0,0.06,0,23,2316,0,1,8,0,0,1,2,1
34,23,0,1,2,0,0,0.0,0,0,2935,0,1,7,0,0,0,2,1
27,19,0,1,2,0,0,0.148148148,0,219,3932,927214,0,6,0,0,1,2,0
63,14,0,1,3,1,0,0.0,0,147,8759,26017,0,13,0,0,1,1,0
66,16,0,0,2,0,1,0.0,0,77,5647,1040,0,11,0,0,0,1,0
40,11,0,1,2,0,0,0.1,0,13,1184,0,1,8,0,0,0,2,1
48,16,0,1,1,1,0,0.0,0,59,3476,4672316,0,9,0,0,1,2,0
126,50,1,1,3,1,0,0.095238095,0,51,3993,5707171,1,18,0,1,1,2,1
41,32,0,0,2,0,1,0.0,0,21,7296,0,1,6,1,0,0,1,1
36,27,0,0,2,0,0,0.0,0,115,6989,2203390,0,6,0,0,0,2,0
72,24,0,1,2,0,0,0.0,0,68,4845,5964,0,15,0,1,1,2,0
68,42,1,1,3,0,0,0.161764706,0,51,3993,5707171,1,9,0,1,1,2,1
163,14,1,1,3,0,0,0.398773006,1,31,-1,0,1,23,0,1,0,2,1
26,18,0,1,2,0,0,0.0,0,95,1170,390047,0,6,0,0,0,0,0
64,17,1,1,2,0,0,0.34375,0,36,1237,0,1,7,0,0,1,2,1
36,28,1,1,3,0,1,0.25,0,21,5627,0,1,8,0,0,0,2,1
61,14,0,1,2,0,1,0.0,0,3,3767,9264543,1,10,0,1,0,1,1
66,17,1,0,2,0,0,0.212121212,0,105,9316,13,0,9,1,0,0,0,0
35,26,0,0,2,0,0,0.0,0,16,7849,0,0,6,0,0,0,1,0
113,24,0,1,3,0,0,0.0,0,417,3920,0,0,19,1,1,0,2,1
41,34,0,1,2,0,0,0.0,0,27,5159,0,0,9,1,0,1,1,0
23,12,0,1,2,1,0,0.0,0,160,-1,74862,0,7,0,0,0,2,0
31,24,0,1,2,0,0,0.0,1,183,5230,5828226,0,6,0,0,0,1,0
84,30,0,1,2,1,0,0.0,4,23,3125,0,1,12,0,0,0,1,1
29,17,0,1,2,0,0,0.0,0,1,5026,544886,1,6,0,0,0,2,1
98,26,1,1,2,1,0,0.295918367,2,22,2300,0,1,14,0,0,2,2,1
15,8,0,1,1,0,0,0.0,0,35,2580,1671658,0,4,0,0,0,0,0
65,22,0,1,2,0,0,0.0,0,265,5825,7698,0,11,0,0,1,1,0
131,27,0,0,2,1,1,0.030534351,0,26,8019,0,1,19,0,0,1,1,1
50,23,0,0,2,1,0,0.0,0,279,7839,607,0,8,0,0,0,0,0
51,32,0,1,2,0,0,0.0,0,7,2306,0,1,7,0,0,1,1,1
45,11,0,0,3,0,0,0.133333333,0,420,-1,6431,0,9,0,0,0,2,0
159,14,1,1,2,0,0,0.270440252,0,13,1500,0,1,16,0,0,1,2,1
44,22,1,0,2,1,0,0.227272727,0,43,2739,11657,1,8,0,0,0,1,1
103,19,0,0,3,0,0,0.077669903,0,64,134,1508317,1,12,0,0,0,2,1
46,20,0,1,3,0,0,0.0,0,0,7802,0,1,10,0,0,0,2,1
45,16,0,0,2,0,0,0.0,0,253,7133,12,0,8,1,0,0,1,0
51,26,0,1,3,0,0,0.0,0,91,1690,0,1,9,0,0,4,2,1
38,19,0,1,3,0,0,0.0,0,184,1588,0,1,8,0,0,1,2,1
81,27,1,1,2,0,0,0.283950617,0,30,5767,0,1,8,0,0,1,1,1
112,31,0,1,2,0,1,0.0,0,83,7615,2190,0,17,0,1,1,1,0
39,16,0,0,2,0,0,0.0,2,27,8348,1,0,7,1,0,1,2,1
99,15,0,0,2,0,0,0.0808080809999999,1,27,8348,1,1,14,1,0,0,2,1
45,27,0,0,2,0,0,0.0,0,118,6989,2203390,1,7,0,0,1,2,0
60,35,0,1,3,1,1,0.033333333,2,21,5615,0,1,11,0,0,0,2,1
74,19,0,1,3,0,0,0.081081081,0,0,9327,4053,0,17,0,0,1,3,0
61,18,0,1,3,1,0,0.0,0,54,3561,6010,0,11,0,0,1,2,0
40,32,0,0,3,0,1,0.125,0,0,5614,0,0,7,0,0,0,2,1
52,24,0,1,3,0,0,0.038461538,0,0,5408,0,1,8,0,0,0,2,1
88,24,0,0,3,0,1,0.0,0,1,8346,1,1,14,1,1,1,0,1
74,12,0,1,2,0,0,0.027027027,0,167,5877,24587,0,11,0,0,1,1,0
46,16,0,1,2,1,0,0.065217391,0,849,2633,827,1,9,0,0,2,2,0
54,17,0,1,3,0,0,0.0,0,0,6512,1680566,0,8,0,0,1,3,0
54,21,0,1,1,1,0,0.0,1,5,-1,0,1,9,0,0,1,1,1
38,16,0,0,2,0,0,0.0,0,385,7134,12,1,8,1,0,0,0,0
67,15,0,1,2,0,0,0.0,0,212,9394,1294,0,11,0,0,0,1,0
62,13,0,1,3,1,0,0.0,2,0,5044,0,1,14,0,0,0,2,1
59,17,0,1,3,0,0,0.06779661,1,13,2573,0,1,10,0,0,0,1,1
57,38,0,0,3,0,0,0.01754386,0,0,1246,7048,1,8,0,0,0,1,1
32,12,0,1,1,1,0,0.0,0,44,2872,8400,0,7,0,0,1,1,0
46,25,0,1,2,0,0,0.0,0,0,4537,0,1,8,0,0,0,2,1
37,16,0,0,2,0,0,0.0,0,199,7133,12,0,7,1,0,0,0,0
36,29,0,1,2,0,1,0.027777778,0,14,7295,0,1,5,1,0,1,1,1
52,18,0,1,2,0,0,0.038461538,1,1,973,8238037,1,10,0,0,1,1,1
32,24,1,1,2,0,1,0.25,0,5,7296,0,1,6,1,0,1,2,1
34,11,0,0,1,0,0,0.0,0,25,7491,63,0,5,1,0,0,2,0
27,19,0,1,3,0,0,0.0,0,33,-1,479698,0,7,0,0,0,2,0
92,22,1,1,2,1,0,0.304347826,3,11,-1,0,1,12,0,0,0,2,1
102,12,0,1,2,0,0,0.058823529,0,148,8442,43102,0,17,0,0,1,1,0
32,23,0,0,2,0,0,0.0,0,181,2277,2426481,0,6,0,0,0,2,0
29,20,0,0,2,0,0,0.0,0,81,1800,0,0,6,0,0,0,2,0
119,24,0,1,3,1,0,0.008403361,3,98,-1,0,1,18,0,0,0,2,1
59,21,0,0,2,0,0,0.06779661,1,129,3952,3862928,0,9,0,0,1,2,0
54,19,0,1,2,0,0,0.0,0,98,4855,128132,0,8,0,0,1,1,0
151,10,1,1,3,0,0,0.271523179,0,45,166,0,1,9,0,0,0,2,1
84,25,0,1,3,0,0,0.035714286,0,38,4093,52436,0,14,0,0,1,2,0
55,10,0,1,3,1,0,0.0,3,41,-1,1080262,1,11,0,0,2,2,1
18,9,0,0,1,0,0,0.0,0,437,-1,294723,0,5,0,0,0,1,0
39,16,0,0,2,0,0,0.0,0,137,8516,8,0,6,1,0,0,0,0
28,19,0,0,2,1,0,0.0,0,218,7689,381695,0,7,0,0,0,2,0
32,16,0,1,3,1,0,0.0,0,31,5913,86462,0,8,0,0,1,1,0
16,9,0,1,1,0,0,0.0,0,139,-1,2346124,0,4,0,0,0,0,0
23,12,0,1,1,0,0,0.0,0,0,4141,0,1,6,0,0,0,2,1
29,21,0,1,3,0,0,0.0,0,104,4664,0,0,7,0,0,1,2,0
29,20,0,0,2,0,0,0.0,0,124,317,0,0,6,0,0,0,1,1
41,15,0,0,2,0,0,0.0,0,65,4566,44445,0,7,0,0,0,1,0
22,6,0,0,1,0,1,0.181818182,0,16,-1,3523,1,5,0,0,1,1,1
52,14,0,1,3,0,0,0.038461538,0,2,657,0,1,11,0,0,0,2,1
38,20,0,1,3,0,0,0.026315789,0,1,-1,9412550,1,10,0,0,0,1,1
30,21,0,0,3,0,0,0.0,0,77,-1,0,0,7,0,0,1,2,0
76,50,1,1,3,1,0,0.105263158,0,51,3993,5707171,1,10,0,1,1,2,1
430,13,1,1,3,0,0,0.039534884,3,21,-1,0,1,99,1,1,2,2,1
37,19,0,1,2,0,1,0.0,0,38,4823,212735,1,6,0,0,1,1,0
73,23,0,1,3,0,0,0.068493151,0,61,11046,545,0,12,0,0,1,1,0
56,15,0,1,2,0,0,0.107142857,0,0,2939,0,1,14,0,0,0,2,1
70,13,0,0,1,0,0,0.0,0,52,3385,12180,1,14,0,0,0,1,0
70,20,0,1,3,0,0,0.0,0,0,7802,0,1,10,0,1,0,2,1
52,19,0,1,2,1,0,0.076923077,0,83,-1,241891,1,9,0,0,2,2,0
31,22,0,0,2,1,0,0.0,0,24,5366,3913090,0,7,0,0,0,2,0
90,19,1,0,3,0,1,0.244444444,1,52,2112,0,1,11,1,1,1,2,1
45,15,1,1,3,0,0,0.1555555559999999,0,315,7156,2272,0,9,0,1,1,2,0
55,20,0,1,3,0,0,0.036363636,0,77,7602,145276,0,9,0,0,0,1,0
65,12,0,1,3,0,0,0.076923077,0,5,135,0,1,12,0,0,0,1,1
41,33,0,1,2,1,0,0.073170732,0,184,1546,4669,1,7,0,1,0,2,1
71,25,1,0,2,1,0,0.169014085,0,582,7,0,1,11,0,0,0,2,1
83,16,0,0,2,0,0,0.072289157,1,10,8348,1,1,12,1,0,0,0,1
73,18,1,1,1,1,0,0.342465753,0,14,-1,0,1,8,0,0,0,1,1
44,30,0,1,2,0,0,0.204545455,0,4,184,0,1,8,0,0,1,1,1
114,16,0,1,3,1,0,0.052631579,2,1,2403,819233,0,17,0,0,0,1,1
127,50,1,0,3,1,0,0.157480315,0,51,3992,5697976,1,18,0,1,1,2,1
99,20,0,1,3,0,0,0.070707071,0,32,254,0,0,12,0,0,1,2,1
56,20,0,1,2,1,0,0.0,1,38,6041,0,1,11,0,0,0,2,1
51,17,0,0,3,0,0,0.0,0,147,7284,2788,1,8,0,0,2,1,0
51,14,0,1,3,0,0,0.0,3,4,-1,0,1,10,1,0,1,1,1
40,24,0,0,2,1,0,0.0,0,98,-1,1166803,0,9,0,1,1,0,0
33,14,0,1,3,0,0,0.0,1,145,5111,5692030,1,10,0,0,1,1,1
88,20,0,0,2,0,0,0.0,0,296,8024,88431,0,14,0,1,0,0,0
122,18,0,0,2,0,0,0.049180328,0,161,5993,5488,0,21,0,1,0,1,0
53,20,0,1,3,0,0,0.0,0,53,2684,188662,0,8,0,0,1,1,0
46,37,0,0,3,1,0,0.086956522,0,3,725,23941,1,11,0,1,1,1,1
36,29,0,1,2,0,1,0.0,0,14,7295,0,1,5,1,0,1,1,1
31,23,0,1,2,0,0,0.0,0,64,3754,3847776,0,6,0,0,0,1,0
48,16,0,0,2,0,0,0.0,0,154,5381,299694,0,11,0,0,0,0,0
101,6,0,0,2,0,0,0.0,1,38,3743,0,1,14,0,1,0,2,1
41,19,0,1,3,0,0,0.0,0,0,5416,435027,0,8,0,0,0,3,0
43,35,0,1,3,0,0,0.093023256,1,1,1901,0,1,8,0,0,0,1,1
15,8,0,1,1,0,0,0.0,0,0,3937,0,0,4,0,0,0,0,0
42,10,0,1,3,0,0,0.071428571,0,37,6668,1677903,1,10,0,0,2,1,0
51,15,0,1,1,0,0,0.0,0,157,4413,225825,0,9,0,0,1,0,0
48,27,0,1,3,0,0,0.0,0,0,3983,0,1,11,0,0,0,2,1
49,19,0,1,1,0,0,0.0,0,209,7732,81846,0,8,0,0,0,2,0
25,13,0,0,1,1,0,0.0,0,22,2647,0,0,8,0,0,0,2,1
49,15,0,0,2,0,1,0.020408163,0,326,9285,121,0,10,1,0,0,1,0
48,25,0,1,3,0,0,0.020833333,0,141,8047,1577,0,8,0,0,1,0,0
108,25,0,1,3,1,0,0.037037037,3,10,531,0,1,15,0,1,1,0,1
39,20,0,1,2,0,0,0.0,0,0,1028,0,1,7,0,0,0,0,1
80,20,0,1,3,0,0,0.0,0,146,5334,1137149,1,13,0,0,2,2,0
36,17,0,1,2,0,0,0.0,0,60,7602,2368410,1,7,0,0,2,2,0
28,19,0,0,2,1,0,0.0,0,416,6460,1119897,0,7,0,0,0,2,0
33,14,0,0,2,0,0,0.060606061,1,8,1953,4365,1,6,0,0,0,1,1
23,14,0,0,3,0,1,0.0,0,168,-1,7600,0,7,0,0,0,0,0
77,18,0,0,2,0,0,0.0,0,319,5224,137,0,12,0,0,0,2,0
342,19,1,0,3,0,0,0.415204678,1,31,-1,1554194,1,38,0,0,0,2,1
38,29,0,0,2,1,0,0.131578947,0,3,189,0,1,7,0,0,0,1,1
73,22,0,1,2,0,0,0.0,2,148,6203,38365,1,12,0,0,2,2,0
33,15,0,0,2,0,0,0.0,0,53,5639,2,0,7,1,0,0,1,0
67,17,0,1,3,0,0,0.0,0,0,1785,7811868,1,12,0,0,0,2,1
39,18,0,0,2,0,0,0.051282051,0,72,6431,15489,1,7,0,0,1,0,0
24,15,0,0,2,0,0,0.0,0,323,2254,219358,0,6,0,0,0,1,0
26,17,0,0,2,0,0,0.0,0,53,-1,543542,0,6,0,0,0,0,0
39,7,0,0,2,0,0,0.128205128,0,0,9253,21542,0,9,0,0,0,3,0
62,22,1,1,3,1,0,0.35483871,0,0,5825,0,1,8,0,0,1,2,1
41,13,0,1,2,0,0,0.0,2,41,1899,507771,1,8,0,0,1,1,1
40,31,0,0,2,0,1,0.0,0,14,7295,0,1,6,1,0,0,1,1
51,26,0,1,3,1,0,0.0,0,8,4120,632334,0,9,0,0,0,1,0
59,12,0,0,2,0,1,0.06779661,0,665,3650,7053,1,12,0,0,1,1,0
50,20,0,0,3,0,0,0.0,0,77,8044,2580,0,9,0,0,0,2,0
52,25,0,1,2,1,0,0.057692308,0,103,6831,0,1,8,0,0,1,2,1
43,15,0,1,2,1,0,0.0,0,21,3904,0,1,8,0,1,1,1,1
94,42,0,1,3,0,0,0.127659574,0,57,4183,0,1,13,1,1,1,1,1
60,15,0,1,3,0,0,0.0,0,77,2403,62284,0,9,0,1,1,0,0
18,11,0,1,1,0,0,0.0,0,105,-1,1111694,0,4,0,0,1,1,0
204,27,0,0,2,0,1,0.132352941,1,12,7968,892,0,15,0,0,0,1,1
94,24,1,0,3,0,1,0.159574468,1,1,8346,1,0,13,1,1,1,0,1
41,33,0,1,3,1,0,0.0,0,20,-1,0,1,9,0,1,2,1,1
19,11,0,1,2,0,0,0.1578947369999999,0,45,1154,0,1,6,0,0,0,2,1
35,22,0,1,2,1,0,0.028571429,0,0,3608,0,1,7,0,0,0,2,1
63,26,0,1,3,0,0,0.0,0,23,2870,0,1,10,0,0,0,1,1
53,21,0,1,2,0,0,0.075471698,0,0,5972,0,1,9,0,0,1,1,1
